Plant Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Beach Primrose (Camissoniopsis cheiranthifolia),Perennial herb,"1 - 4 in tall
.5 - 3 ft wide","Mounding, Spreading",Fast,Evergreen,"Yellow, Red","Winter, Spring, Summer",Birds and butterflies,"*
White-lined Sphinx
Hyles lineata

*
Pacific Green Sphinx Moth
Proserpinus lucidus

*
Phaeton Primrose Sphinx Moth
Euproserpinus phaeton

*
Ridings' Forester Moth
Alypia ridingsii

*
Clark's Day Sphinx Moth
Proserpinus clarkiae","White-lined Sphinx
Hyles lineata","Pacific Green Sphinx Moth
Proserpinus lucidus","Phaeton Primrose Sphinx Moth
Euproserpinus phaeton","Ridings' Forester Moth
Alypia ridingsii","Clark's Day Sphinx Moth
Proserpinus clarkiae",Full Sun,Very Low,Max 1x / month once established,Carried by 18,Moderately Easy,Tolerates cold to 25 - 30° F,Fast,Sandy dunes. Soil PH: 5 - 7,"Coast Eriogonum (Eriogonum latifolium),Sand Verbena (Abronia species), Pt. Reyes Ceanothus (Ceanothus gloriosus), Twinberry (Lonicera involucrata), Lupine (Lupinus species), Bluff Lettuce (Dudleya farinosa), coast silktassel (Garrya elliptica), Yellow Stonecrop (Sedum spathulifolium), and Dune Manzanita (Arctostaphylos pumila), Coastal plants such as other Verbena species (Abronia maritima, Abronia umbellata), Common Yarrow (Achillea millefolium), Silver Beachweed (Ambrosia chamissonis), Beach Sage (Artemisia pycnocephala), Saltbush species (Atriplex spp.), Cakile maritima, Morning-glory species (Calystegia spp.), Sandcarpet (Cardionema ramosissimum), Croton (Croton californicus), Seaside Daisy species (Erigeron spp.), Buckwheat species (Eriogonum latifolium, Eriogonum parvifolium), Seaside Woolly Sunflower (Eriophyllum staechadifolium), Wallflower (Erysimum spp.), Beach Strawberry (Fragaria chiloensis), Coastal Gumplant (Grindelia stricta)",Reseeds readily,"Coastal sandy slopes and flats, dunes","Annual Precipitation: 9.1"" - 56.2"", Summer Precipitation: 0.14"" - 1.62"", Coldest Month: 39.9"" - 56.7"", Hottest Month: 55.4"" - 76.8"", Humidity: 0.04"" - 23.71"", Elevation: -140"" - 2818""","Botanical Names: Camissonia cheiranthifolia
Common Names: Beach Evening Primrose, Beach Evening-primrose, Beach Suncup",,,,,,
Common Spikerush (Eleocharis macrostachya),Grasses,1.6 - 3.3 ft tall,Upright,Fast,Evergreen,Brown,,"*
White-lined Sphinx
Hyles lineata

*
Yellow-Collared Scape Moth
Cisseps fulvicollis

*
Thopeutis forbesellus","White-lined Sphinx
Hyles lineata","Yellow-Collared Scape Moth
Cisseps fulvicollis",Thopeutis forbesellus,Full Sun,Moderate - High,Keep moist,Carried by 15,Tolerates cold to -10° F,"Slow, Standing",Tolerates any saturated or inundated soil. Soil PH: 5.5 - 7.0,Bird Gardens,"Due to its spreading tendency, use with caution in garden ponds or bioswales. Use with other marsh plants such as Carex sp., Bulrush (Schoenoplectus californicus), Rush (Juncus sp.), SaltMarsh Fleabane (Pluchea odorata), Arrowhead (Sagittaria sp.), Willow (Salix sp.), and Cattail (Typha sp.)","Shallow freshwater or brackish marsh on the margin of lakes or ponds, estuaries, large springs or seeps, and in drainage ditches","Annual Precipitation: 3.1"" - 88.1"", Summer Precipitation: 0.14"" - 3.26"", Coldest Month: 21.3"" - 59.2"", Hottest Month: 49.7"" - 89.2"", Humidity: 0.24"" - 40.50"", Elevation: -127"" - 8889""","Common Names: Creeping Spike Rush, Pale Spike-rush, Pale Spikerush, Wire Grass",,,,,,,,,,
Mock Heather (Ericameria ericoides),Shrub,"2 - 3.5 ft tall
3 - 4 ft wide",Mounding,Fast,Evergreen,Yellow,"Summer, Fall","Bees, butterflies and other pollinators","Aristotelia argentifera

*
Northern Checkerspot
Chlosyne palla

*
White-lined Sphinx
Hyles lineata

*
Sagebrush Girdle Moth
Plataea trilinearia

*
Plagiomimicus tepperi

*
Tetracis formosa",Aristotelia argentifera,"Northern Checkerspot
Chlosyne palla","White-lined Sphinx
Hyles lineata","Sagebrush Girdle Moth
Plataea trilinearia",Plagiomimicus tepperi,Tetracis formosa,,Full Sun,Very Low,Max 1x / month once established,Carried by 14,Moderately Easy,Tolerates cold to 20 - 25° F,Fast,Sandy dunes. Tolerates Saline Soil. Soil PH: 6 - 7,"Deer Resistant, Bird Gardens","Red Sand Verbena (Abronia maritima), Sea Cliff Buckwhet (Eriogonum parvifoium), Coast Dudleta (Dudleya caespitosa), Saltgrass (Distichlis spicata), Big Salbush (Atriplex lentiformis), Dune Bush Lupine (Lupinus chamissonis), California Aster (Corethrogyne filaginifolia), Menzies' Goldenbush (Isocoma menziesii)","14, 15*, 16*, 17*, 22, 23, 24",Dunes and sandy soils,"Annual Precipitation: 6.4"" - 59.0"", Summer Precipitation: 0.16"" - 0.79"", Coldest Month: 41.4"" - 56.7"", Hottest Month: 58.5"" - 77.4"", Humidity: 0.41"" - 25.07"", Elevation: -224"" - 4336""","Common Names: California Goldenbush, California Heathgoldenrod",,,
California Bulrush (Schoenoplectus californicus),Grasses,6 - 12 ft tall,Upright,"Fast, Moderate",Evergreen,None,Brown,Spring,This is an important species to many wetland-marsh species,"*
White-lined Sphinx
Hyles lineata

*
Oblong Sedge Borer Moth
Capsula oblonga

*
Javelin Moth
Bactra verutana

*
Mottled Marble
Bactra furfurana

*
Thopeutis forbesellus

*
Bactra maiorina","White-lined Sphinx
Hyles lineata","Oblong Sedge Borer Moth
Capsula oblonga","Javelin Moth
Bactra verutana","Mottled Marble
Bactra furfurana",Thopeutis forbesellus,Bactra maiorina,Full Sun,Moderate - High,Keep moist,Carried by 20,Tolerates cold to 20° F,"Standing, Standing",Tolerates any saturated or inundated soil. Soil PH: 5.0 - 9.0,"Bogs and Ponds, Deer Resistant","Due to its spreading tendency, use with caution in garden ponds or bioswales. Use with other marsh plants such as Carex sp., Spikerush (Eleocharis sp.), Rush (Juncus sp.), SaltMarsh Fleabane (Pluchea odorata), Arrowhead (Sagittaria sp.), Willow (Salix sp.), and Cattail (Typha sp.)","Pruning is usually not required, but spreading rhizomes may need to be removed periodically to restrain its aggressive tendencies","Shallow freshwater or brackish marsh on the margin of lakes or ponds, estuaries, large springs or seeps, and in drainage ditches","Annual Precipitation: 3.4"" - 47.1"", Summer Precipitation: 0.17"" - 1.46"", Coldest Month: 41.6"" - 61.6"", Hottest Month: 60.1"" - 88.7"", Humidity: 0.28"" - 42.78"", Elevation: -13"" - 4858""","Botanical Names: Scirpus californicus
Common Names: California Tule",,,,
Western Marsh Rosemary (Limonium californicum),Perennial herb,"1 - 2 ft tall
1 - 2 ft wide","Mounding, Spreading",Fast,Evergreen,"Blue, Lavender, White, Brown","Summer, Fall",Many pollinators,"*
White-lined Sphinx
Hyles lineata

*
Sunflower Moth
Homoeosoma electella

*
Celery Leaftier
Udea rubigalis","White-lined Sphinx
Hyles lineata","Sunflower Moth
Homoeosoma electella","Celery Leaftier
Udea rubigalis",Full Sun,Moderate - High,Keep moist,Carried by 12,Moderately Easy,Tolerates cold to 25 - 30° F,"Fast, Medium, Slow, Standing",Adaptable. Tolerates Saline Soil,Bogs and Ponds,"Broadleaf Cattail (Typha latifolia), Southern Cattail (Typha domingensis), Alkali Bulrush (Bolboschoenus maritimus), Saltgrass (Distichlis spicata), Marsh Gumplant (Grindelia stricta var angustifolia), Fleshy Jaumea (Jaumea carnosa), Alkali Heath (Frankenia salina)","5, 15, 16, 17*, 21, 22*, 23*, 24*","Salt marshes, beaches and bays","Annual Precipitation: 9.4"" - 46.1"", Summer Precipitation: 0.17"" - 1.42"", Coldest Month: 46.0"" - 56.6"", Hottest Month: 57.0"" - 77.4"", Humidity: 0.38"" - 21.44"", Elevation: -23"" - 1433""","Common Names: California Sea Lavender, California Sealavender, Western Marsh-rosemary",,,,,,,
Baltic Rush (Juncus balticus),Grasses,3 ft tall,Fountain,Fast,Evergreen,None,Brown,,"*
White-lined Sphinx
Hyles lineata

*
Streaked Coleophora Moth
Coleophora cratipennella

*
Red Swordgrass Moth
Xylena nupera

*
Yellow-Collared Scape Moth
Cisseps fulvicollis

*
Javelin Moth
Bactra verutana

*
Mottled Marble
Bactra furfurana","White-lined Sphinx
Hyles lineata","Streaked Coleophora Moth
Coleophora cratipennella","Red Swordgrass Moth
Xylena nupera","Yellow-Collared Scape Moth
Cisseps fulvicollis","Javelin Moth
Bactra verutana","Mottled Marble
Bactra furfurana",,Part Shade,Moderate - High,Keep moist,Carried by 11,Moderately Easy,Tolerates cold to -15° F,"Fast, Medium, Slow, Standing",Tolerant of a variety of soils. Tolerates Saline Soil. Soil PH: 5.0 - 8.0,"Use in a bioswale or bog-type garden with other wetland plants such as Yerba Mansa (Anemopsis californica), Sedges (Carex sp.), Monkeyflower (Mimulus cardinalis or guttatus), Willows (Salix sp.), and Hedgenettle (Stachys sp.)",By seed or rhizome cutting,"1, 2, 3, 4*, 5*, 6*, 7*, 8, 9, 10, 11, 12, 13, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*",Freshwater or brackish marsh in a wide variety of settings,"Annual Precipitation: 3.0"" - 109.6"", Summer Precipitation: 0.15"" - 3.95"", Coldest Month: 23.9"" - 57.4"", Hottest Month: 43.8"" - 89.3"", Humidity: 0.23"" - 40.68"", Elevation: -190"" - 10736""",,,,
Seaside Woolly Sunflower (Eriophyllum staechadifolium),"Perennial herb, Shrub","2 - 5 ft tall
4 - 5 ft wide",Evergreen,Yellow,"Spring, Summer",Various insect pollinators are attracted to the flowers,"*
White-lined Sphinx
Hyles lineata

*
Geranium Plume Moth
Amblyptilia pica

*
Orange Tortrix Moth
Argyrotaenia franciscana

*
Lupine Ghost Moths
Phymatopus californicus

*
Phalonidia latipunctana

*
Phtheochroa aegrana","White-lined Sphinx
Hyles lineata","Geranium Plume Moth
Amblyptilia pica","Orange Tortrix Moth
Argyrotaenia franciscana","Lupine Ghost Moths
Phymatopus californicus",Phalonidia latipunctana,Phtheochroa aegrana,,"Full Sun, Part Shade","Extremely Low, Very Low, Low","Max 1x / month once established, Max 2x / month once established, Never irrigate once established",Carried by 26,Tolerates cold to 25° F,Fast,Sandy. Soil PH: 5.5 - 7.0,"Groundcovers, Deer Resistant, Butterfly Gardens, Bee Gardens","Use with other coastal species such as Sand Verbena (Abronia sp.), Silver Beachweed (Ambrosia chamissonis), Beach Morningglory (Calystegia soldanella), Beach Evening Primrose (Camissoniopsis cheiranthifolia), Fleabane (Erigeron sp.), Dune Lupine (Lupinus chamissonis), Coast Buckwheat (Eriogonum latifolium), and Hummingbird Sage (Salvia spathacea)",For propagating by seed: No treatment.,"5*, 7, 8, 9, 14*, 15*, 16*, 17*, 19*, 20*, 21*, 22*, 23*, 24*","Dunes, coastal bluffs, coastal strand","Annual Precipitation: 11.0"" - 74.5"", Summer Precipitation: 0.15"" - 2.17"", Coldest Month: 42.1"" - 56.0"", Hottest Month: 55.1"" - 76.4"", Humidity: 0.08"" - 23.33"", Elevation: -133"" - 2884""",Common Names: Lizard Tail,,,,,
Alkali Heath (Frankenia salina),Perennial herb,1 ft tall,Spreading,Moderate,Summer Semi-Deciduous,"Pink, White","Spring, Summer, Fall",,"*
White-lined Sphinx
Hyles lineata

*
Agdistis americana","White-lined Sphinx
Hyles lineata",Agdistis americana,Full Sun,Moderate - High,Keep moist,Carried by 13,Moderately Easy,Tolerates cold to 25° F,"Fast, Medium, Slow, Standing",Prefers sand or sandstone. Soil PH: 6.0 - 9.0,Groundcovers,"Use with other wetland plants such as Salt Grass (Distichlis spicata), Yellow Monkeyflower (Mimulus guttatus), Sedge (Carex sp.), Rush (Juncus sp.), Willow (Salix sp.), and Alkali Weed (Cressa truxillensis)",For propagating by seed: No treatment. (Emery and Frey 1971).,"8*, 10, 11*, 12, 13, 14*, 15, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Salt marshes, alkali flats","Annual Precipitation: 3.2"" - 47.0"", Summer Precipitation: 0.12"" - 1.53"", Coldest Month: 37.5"" - 59.7"", Hottest Month: 58.1"" - 88.0"", Humidity: 0.01"" - 43.78"", Elevation: -59"" - 6109""","Botanical Names: Frankenia grandiflora
Common Names: Alkali Seaheath, Alkali-heath, Yerba Reuma",,,,,,,
Hooker's Evening Primrose (Oenothera elata ssp. hookeri),Perennial herb,"5 ft tall
5 ft wide","Upright, Spreading",Fast,Winter Deciduous,None,Yellow,"Summer, Fall","Native bees, lined sphinx moth, birds, butterflies","*
White-lined Sphinx
Hyles lineata

*
Dusky Raisin Moth
Ephestiodes gilvescentella

*
Pacific Green Sphinx Moth
Proserpinus lucidus

*
Phaeton Primrose Sphinx Moth
Euproserpinus phaeton

*
Common Eupithacia
Eupithecia miserulata

*
Ridings' Forester Moth
Alypia ridingsii","White-lined Sphinx
Hyles lineata","Dusky Raisin Moth
Ephestiodes gilvescentella","Pacific Green Sphinx Moth
Proserpinus lucidus","Phaeton Primrose Sphinx Moth
Euproserpinus phaeton","Common Eupithacia
Eupithecia miserulata","Ridings' Forester Moth
Alypia ridingsii",,"Part Shade, Full Sun","Low, Moderate - High,",Max 1x / month once established,Carried by 13,Very Easy,Tolerates cold to 35° F,"Fast, Medium, Slow","Adaptable to a variety of soil types, but does best in moist areas.. Soil PH: 4 - 7","Hooker's primRose can reseed vigorously, so be aware when planting it nearby other flowering plants. Taller plants, however, can out-compete. Consider using White Brodeiaea (Triteleia hyacinthina) or the Pitkin Marsh Lily (Lilium pardalinum ssp. pitkinense).",Host to the bacteria Xylella fastidiosa.,"Propagate plans from untreated seeds and sow seeds in the fall. Since this species is a biennial, so be sure to plant the seeds two successive years to establish a continuously flowering population. This primrose will vigorously reseed until proper conditions.","5, 6, 7, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Moist places, disturbed areas, coastal areas.","Annual Precipitation: 10.4"" - 51.7"", Summer Precipitation: 0.17"" - 2.70"", Coldest Month: 28.0"" - 54.9"", Hottest Month: 56.1"" - 83.0"", Humidity: 0.48"" - 33.70"", Elevation: -3"" - 7385""","Botanical Names: Oenothera hookeri
Common Names: Common Evening Primrose, Hooker's Eveningprimrose, Showy Evening Primrose",
Toad Rush (Juncus bufonius),Grasses,1 ft tall,Upright,Fast,Green,Spring,,"*
White-lined Sphinx
Hyles lineata

*
Streaked Coleophora Moth
Coleophora cratipennella

*
Red Swordgrass Moth
Xylena nupera

*
Yellow-Collared Scape Moth
Cisseps fulvicollis

*
Javelin Moth
Bactra verutana

*
Mottled Marble
Bactra furfurana","White-lined Sphinx
Hyles lineata","Streaked Coleophora Moth
Coleophora cratipennella","Red Swordgrass Moth
Xylena nupera","Yellow-Collared Scape Moth
Cisseps fulvicollis","Javelin Moth
Bactra verutana","Mottled Marble
Bactra furfurana",,Full Sun,Moderate - High,Keep moist,Carried by 6,Moderately Easy,Tolerates cold to -10° F,"Fast, Medium, Slow",Tolerant of a variety of garden soils as long as sufficient moisture is available. Soil PH: 5.6 - 8.0,"Use with other wet area plants such as Sedge (Carex or Cyperus sp.), Spikerush (Eleocharis sp.), Bullrush (Schoeoplectus or Scirpus sp.), and Cattail (Typha sp.)","Pond margins, streams, ditches, and other wet places","Annual Precipitation: 4.0"" - 93.4"", Summer Precipitation: 0.13"" - 2.93"", Coldest Month: 20.3"" - 60.4"", Hottest Month: 46.8"" - 87.2"", Humidity: 0.01"" - 40.37"", Elevation: -253"" - 10562""",Common Names: Common Toad Rush,,,,,,
Annual Tule (Isolepis cernua),Grasses,1.3 ft tall,Brown,,"*
White-lined Sphinx
Hyles lineata

*
Oblong Sedge Borer Moth
Capsula oblonga

*
Javelin Moth
Bactra verutana

*
Mottled Marble
Bactra furfurana

*
Thopeutis forbesellus

*
Bactra maiorina","White-lined Sphinx
Hyles lineata","Oblong Sedge Borer Moth
Capsula oblonga","Javelin Moth
Bactra verutana","Mottled Marble
Bactra furfurana",Thopeutis forbesellus,Bactra maiorina,Full Sun,Moderate - High,Carried by 13,moderately easy,"Fast, Medium, Slow",Tolerant of a variety of garden soils as long as sufficient moisture is available,"Bogs and Ponds, Bogs and Ponds, Deer Resistant","4*, 5*, 6*, 7*, 8, 9, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Moist, sandy areas","Annual Precipitation: 4.0"" - 65.7"", Summer Precipitation: 0.16"" - 2.01"", Coldest Month: 24.8"" - 57.3"", Hottest Month: 45.1"" - 86.7"", Humidity: 0.03"" - 38.42"", Elevation: -253"" - 10448""","Botanical Names: Scirpus cernuus
Common Names: Fiberoptic Grass, Low Bulrush, Low Clubrush, Slender Club-rush, Tufted Clubrush",,,,,,,,,,,
California Brome Grass (Bromus carinatus),Grass,"1 - 5 ft tall
1 ft wide","Upright, Spreading",Fast,Summer Deciduous,None,Yellow,Spring,Various insects and seed-eating birds are attracted to this plant. It is a host plant for the Umber Skipper butterfly.,"Umber Skipper
Poanes melane

*
Juba Skipper
Hesperia juba

*
Arctic Skipper
Carterocephalus palaemon

*
Common Roadside-Skipper
Amblyscirtes vialis

*
White-lined Sphinx
Hyles lineata

*
Yellow-Collared Scape Moth
Cisseps fulvicollis","Umber Skipper
Poanes melane","Juba Skipper
Hesperia juba","Arctic Skipper
Carterocephalus palaemon","Common Roadside-Skipper
Amblyscirtes vialis","White-lined Sphinx
Hyles lineata","Yellow-Collared Scape Moth
Cisseps fulvicollis",,"Full Sun, Part Shade",Low,Max 2x / month once established,Carried by 14,Very Easy,Tolerates cold to -15° F,"Medium, Slow",Tolerates most soil types but especially good in clay. Soil PH: 5.5 - 8.0,"Groundcovers, Butterfly Gardens","California Brome is a common widespread grass and can be grown successfully with many other California Natives that prefer sun and some summer water, such as Black Oak (Quercus kelloggii), Douglas' sagewort (Artemesia douglasiana), and Dog Violet (Viola adunca).","California brome is susceptible to head smut, a fungus which can be controlled by treating seeds with a fungicide before sowing.. Responds favorably to mowing in spring and summer.","Propagate from seeds, which are easily collected from the inflorescence.",Found in virtually all natural settings in California,"Annual Precipitation: 2.7"" - 148.6"", Summer Precipitation: 0.14"" - 5.40"", Coldest Month: 10.8"" - 61.0"", Hottest Month: 34.1"" - 88.4"", Humidity: 0.01"" - 39.29"", Elevation: -113"" - 14090""",Common Names: Mountain Brome,
Western Ragweed (Ambrosia psilostachya),Perennial herb,"3.5 - 7 ft tall
1 ft wide",Spreading,Winter Semi-Deciduous,Green,"Summer, Fall","Birds, butterflies, grasshoppers.","Gnorimoschema saphirinella

Cosmopterix opulenta

*
Hoary Comma
Polygonia gracilis

*
Common Sootywing
Pholisora catullus

*
Bordered Patch
Chlosyne lacinia

*
White-lined Sphinx
Hyles lineata",Gnorimoschema saphirinella,Cosmopterix opulenta,"Hoary Comma
Polygonia gracilis","Common Sootywing
Pholisora catullus","Bordered Patch
Chlosyne lacinia","White-lined Sphinx
Hyles lineata",,Full Sun,"Low, Moderate - High,",Max 1x / month once established,Carried by 9,Tolerates cold to 15° F,"Fast, Medium, Slow",Adaptable. Soil PH: 5.2 - 8.2,Groundcovers,"Ambrosia psilostachya can do well in a variety of conditions, so the soil type of your garden will best inform which other plants to choose. Consider using other natives that do well in sunny, sandy sites, such as Nuttall's Scrub Oak (Quercus dumosa), Desertbells (Phacelia campanularia), or the Bristly Matilija Poppy (Romneya trichocalyx).","Commonly occurs throughout California on roadsides, disturbed areas, and dry fields.","Annual Precipitation: 3.0"" - 93.0"", Summer Precipitation: 0.15"" - 3.49"", Coldest Month: 31.3"" - 57.4"", Hottest Month: 56.9"" - 89.3"", Humidity: 0.46"" - 39.89"", Elevation: -190"" - 6525""","Common Names: Cuman Ragweed, Perennial Ragweed",,,,,,
Branching Phacelia (Phacelia ramosissima),"Annual herb, Perennial herb","1 - 4 ft tall
1.5 ft wide",Spreading,Summer Deciduous,Fragrant - Unpleasant,"Lavender, White","Spring, Summer",,"*
White-lined Sphinx
Hyles lineata

*
Bilobed Looper Moth
Megalographa biloba

*
Geranium Plume Moth
Amblyptilia pica

*
Orange Tortrix Moth
Argyrotaenia franciscana

*
Oso Flaco Flightless Moth
Areniscythris brachypteris

*
Clepsis fucana","White-lined Sphinx
Hyles lineata","Bilobed Looper Moth
Megalographa biloba","Geranium Plume Moth
Amblyptilia pica","Orange Tortrix Moth
Argyrotaenia franciscana","Oso Flaco Flightless Moth
Areniscythris brachypteris",Clepsis fucana,,Part Shade,Low,Carried by 6,Moderately Easy,Tolerates cold to -10° F,"Fast, Standing",Prefers sand or sandstone. Soil PH: 4.0 - 8.0,"Butterfly Gardens, Bee Gardens","Due to its wide distribution, it can be used with virtually any coastal, chaparral, sage scrub, or woodland plants","14, 15*, 16*, 17*, 22, 23, 24*","Found in various settings including dunes, edges of salt marshes, coastal bluffs, canyons, washes, flats, meadows, and conifer forests","Annual Precipitation: 3.4"" - 76.8"", Summer Precipitation: 0.15"" - 3.48"", Coldest Month: 23.5"" - 61.5"", Hottest Month: 45.8"" - 88.0"", Humidity: 0.41"" - 41.64"", Elevation: -228"" - 10581""",,,,,
Cobweb Thistle (Cirsium occidentale),Perennial herb,2 - 10 ft tall,"Red, Purple, Pink, White","Spring, Summer",,"*
Painted Lady
Vanessa cardui

*
Mylitta Crescent
Phyciodes mylitta

*
California Crescent
Phyciodes orseis

*
White-lined Sphinx
Hyles lineata

*
Bilobed Looper Moth
Megalographa biloba

*
Sweetclover Root Borer Moth
Walshia miscecolorella","Painted Lady
Vanessa cardui","Mylitta Crescent
Phyciodes mylitta","California Crescent
Phyciodes orseis","White-lined Sphinx
Hyles lineata","Bilobed Looper Moth
Megalographa biloba","Sweetclover Root Borer Moth
Walshia miscecolorella",,"Full Sun, Part Shade",Carried by 13,Moderately Easy,"Fast, Medium, Slow",Adaptable,"Deer Resistant, Butterfly Gardens",Varied,"Annual Precipitation: 4.0"" - 135.9"", Summer Precipitation: 0.13"" - 3.95"", Coldest Month: 19.6"" - 57.4"", Hottest Month: 41.1"" - 84.5"", Humidity: 0.36"" - 36.04"", Elevation: -30"" - 11398""","Common Names: Cobwebby Thistle, Western Thistle",,,,,,,,,,,
Beach Bur (Ambrosia chamissonis),Perennial herb,"4 ft tall
7 ft wide",Evergreen,"Yellow, Green","Summer, Fall",,"Ambrosia Plume Moth
Adaina ambrosiae

Gnorimoschema saphirinella

*
Hoary Comma
Polygonia gracilis

*
Common Sootywing
Pholisora catullus

*
White-lined Sphinx
Hyles lineata

*
Western Tussock Moth
Orgyia vetusta","Ambrosia Plume Moth
Adaina ambrosiae",Gnorimoschema saphirinella,"Hoary Comma
Polygonia gracilis","Common Sootywing
Pholisora catullus","White-lined Sphinx
Hyles lineata","Western Tussock Moth
Orgyia vetusta",,Full Sun,"Extremely Low, Very Low",Carried by 6,Fast,Prefers beach sand,"Bank Stabilization, Bee Gardens, Butterfly Gardens","4, 5, 14, 15, 16, 17*, 19, 20, 21, 22*, 23*, 24*","Beaches, dunes","Annual Precipitation: 7.8"" - 71.6"", Summer Precipitation: 0.14"" - 2.06"", Coldest Month: 39.9"" - 57.6"", Hottest Month: 55.6"" - 75.8"", Humidity: 0.01"" - 22.99"", Elevation: -2547"" - 1789""","Common Names: Beach-bur, Silver Beachweed, Silver Bur Ragweed, Silver Burr Ragweed",,,,,,,,,
Red Sand Verbena (Abronia maritima),Perennial Herb,"4.8 in tall
1.6 - 6.4 ft wide",Spreading,Evergreen,"Pink, Purple, Red","Winter, Spring, Summer, Fall",Butterflies,"Lithariapteryx abroniaeella

*
White-lined Sphinx
Hyles lineata

*
Euphyia implicata

*
Lithariapteryx Elegans
Lithariapteryx elegans",Lithariapteryx abroniaeella,"White-lined Sphinx
Hyles lineata",Euphyia implicata,"Lithariapteryx Elegans
Lithariapteryx elegans",Full Sun,Low,Max 1x / month once established,Carried by 7,Tolerates cold to 30° F,Fast,Prefers beach sand. Tolerates Saline Soil. Soil PH: 5 - 7,Bee Gardens,"Plant with other dune wildflowers and shrubs such as Dune Bush Lupine (Lupinus chamissonis), Seaside Woolly Sunflower (Eriophyllum staechadifolium), Sand-loving Wallflower (Erysimum ammophilum), Sandcarpet (Cardionema ramosissimum), and Coastal Buckbrush (Ceanothus cuneatus var. ramulosus).",For propagating by seed: No treatment. (Emery and Frey 1971). Collect seeds from seed heads after they have dried on the plant. Sow directly in the sand after in Fall or after last frost.,"17*, 24*",Sand dunes along the coast.,"Annual Precipitation: 7.9"" - 49.3"", Summer Precipitation: 0.15"" - 0.97"", Coldest Month: 41.4"" - 57.5"", Hottest Month: 58.4"" - 78.0"", Humidity: 0.42"" - 23.71"", Elevation: -154"" - 1687""","Common Names: Red Sand-verbena, Sticky Sand-verbena",,,,,,,
Marsh Fleabane (Pluchea odorata),"Perennial herb, Annual herb",2 - 4 ft tall,Pink,"Summer, Fall",,"Southern Emerald
Synchlora frondaria

Everlasting Bud Moth
Eublemma minima

*
White-lined Sphinx
Hyles lineata

*
Mousy Plume Moth
Lioptilodes albistriolatus

*
Schinia intrabilis","Southern Emerald
Synchlora frondaria","Everlasting Bud Moth
Eublemma minima","White-lined Sphinx
Hyles lineata","Mousy Plume Moth
Lioptilodes albistriolatus",Schinia intrabilis,Full Sun,Moderate - High,Carried by 7,"Fast, Medium, Slow",Adaptable,"Moist, often saline valley bottoms","Annual Precipitation: 2.5"" - 40.4"", Summer Precipitation: 0.15"" - 1.73"", Coldest Month: 36.8"" - 61.5"", Hottest Month: 64.0"" - 89.1"", Humidity: 0.76"" - 42.80"", Elevation: -228"" - 4768""","Common Names: Salt Marsh Fleabane, Sweetscent",,,,,,,,,,,,,,
Seascale (Atriplex leucophylla),Perennial herb,1 - 1 ft tall,Evergreen,"White, Green","Spring, Summer, Fall",,"Western Pygmy Blue
Brephidium exilis

*
Common Sootywing
Pholisora catullus

*
Mohave Sootywing
Hesperopsis libya

*
San Emigdio Blue
Plebejus emigdionis

*
White-lined Sphinx
Hyles lineata

*
Western Tussock Moth
Orgyia vetusta","Western Pygmy Blue
Brephidium exilis","Common Sootywing
Pholisora catullus","Mohave Sootywing
Hesperopsis libya","San Emigdio Blue
Plebejus emigdionis","White-lined Sphinx
Hyles lineata","Western Tussock Moth
Orgyia vetusta",,Full Sun,"Extremely Low, Very Low",Carried by 6,Moderately Easy,Fast,Prefers beach sand,Bird Gardens,"Sandy places, dunes","Annual Precipitation: 7.8"" - 65.7"", Summer Precipitation: 0.14"" - 2.00"", Coldest Month: 39.9"" - 57.5"", Hottest Month: 55.6"" - 73.7"", Humidity: 0.29"" - 16.85"", Elevation: -75"" - 1515""","Common Names: Beach Saltbush, White Orache",,,,,,,,,
California Croton (Croton californicus),Perennial herb,3.3 ft tall,Green,"Spring, Summer",,"Anacampsis lacteusochrella

Schinia citrinellus

*
Gray Hairstreak
Strymon melinus

*
White-lined Sphinx
Hyles lineata

*
California Tiger Moth
Leptarctia californiae

*
Soybean Looper Moth
Chrysodeixis includens",Anacampsis lacteusochrella,Schinia citrinellus,"Gray Hairstreak
Strymon melinus","White-lined Sphinx
Hyles lineata","California Tiger Moth
Leptarctia californiae","Soybean Looper Moth
Chrysodeixis includens",Full Sun,Low,Carried by 5,Moderately Easy,Fast,Prefers sand or decomposed granite,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24","Sandy places, dunes, washes","Annual Precipitation: 2.5"" - 46.1"", Summer Precipitation: 0.14"" - 2.31"", Coldest Month: 39.3"" - 62.0"", Hottest Month: 59.2"" - 89.5"", Humidity: 0.47"" - 47.01"", Elevation: -191"" - 6808""",Common Names: Desert Croton,,,,,,,,,,,
